Variable Name,Variable Label,Answer Label,Answer Code,Variable Type
,,Ma Yinn San,56,
,,Myoe Pwar San,57,
,,Manaw Phyud (San Kyann)/ Manaw Phyu,58,
,,Manaw Sinn Sinn,59,
,,Ma nyin,60,
,,Ma Kyan Taw/ Ma Kyan,61,
,,Bayy Kyar,62,
,,Bywat Htun,63,
,,Paw San Salat Kyoe,64,
,,Paw San Kyan,65,
,,Pathein Ziyar,66,
,,Pyo Lay Khae,67,
,,Pa Khan,68,
,,Nhan Sar,69,
,,Hnin Khin,70,
,,Nhan Khar San (Yat 90 San),71,
,,Nagar Min,72,
,,Day Tha San,73,
,,Thai San Kout,74,
,,Htun gyi,75,
,,Taung Pyan,76,
,,Tayoke San,77,
,,Ziyar/ Ziyar San/ Ziyar Shal,79,
,,Zalat Kyoe,80,
,,Zalat Kyi,81,
,,San Wah,82,
,,San Lone Shay (Unknown rice)/ San Shay,83,
,,San Shay Kayin Lay,84,
,,San Mar,85,
,,San Hmway,86,
,,San Ni,87,
,,San Kout,88,
,,San Kyan (Ziyar)/ San Kyan,89,
,,Sinn thwel Lat/ Sinn Thwel,90,
,,Sinn tone,91,
,,Super,92,
,,San See Ywat Hlay,93,
,,Ngway toe,94,
,,Nga Kyouk San,95,
,,Japan Shwe wah tun,96,
,,Khouk Mee Koot,97,
,,Khine Shwe Wah,98,
,,Chin Tone,99,
,,Chin San,100,
,,Chan Thar Thukha,101,
,,Kout Pway,102,
,,Kout Kyi,103,
,,Kyaw Zayya Amar San,104,
,,Kyouk Sel Padaythar,105,
,,Kamar Kyi,106,
,,Zeyar,107,
,,Wan Tan,108,
,,Aung Sat Kyar,109,
h_04_price,Price of 1 pyi of long-grain rice,Open ended,,Numeric
h_04_short_price,short-grain varieties' prices miscoded in H_04,Open ended,,Numeric
h_04_short_variety,short-grain varieties miscoded in H_04,,,Numeric
,,Pawsan,1,
,,Ngakywe,2,
,,Meedone,3,
h_04_variety,Variety of long-grain rice,,,Integer
,,Emata,1,
,,Ngasein,2,
,,Manathukha,3,
,,Don’t know,9998,
,,Other,9999,
h_05_long_price,long-grain varieties prices miscoded in H_05,Open ended,,Numeric
h_05_long_variety,long-grain varieties miscoded in H_05,Open ended,,Numeric
h_05_oth,h.05.99 Other(Specify),,,Numeric
,,Ayeyarwady San,1,
,,Ayeyar Lin,2,
,,Ayeyar Min San/ Ayeyar Min,3,
,,Ayeyarpadaythar/ Ayeyarpadaythar (myo thit),4,
,,Ayeyarmin,5,
,,Alat Sar,6,
,,Achon San,7,
,,Thukha Shal,8,
,,Thiha Aung San,9,
,,Won Gyi San,10,
,,Lode Thwel Mhway,11,
,,Shan San chaw,12,
,,Shwe Thwel Lay,13,
,,Shwe Thwel Yin,14,
,,Shwe Yin Aye,15,
,,Shwe Bo Ma Naw,16,
,,Shwe Bo Khon Ni/ Shwe Bo,17,
,,Yat 90 San,18,
,,Hmawbi San,19,
,,Ma Gyan Taw San,20,
,,Bay Gyar Taung Pyan/ Taung Pyan Bayy Gyar,21,
,,Phan Thee Shal,22,
,,Pa Day Thar,23,
,,Pathein,24,
,,Pwint Phyu Thu Kha,25,
,,Pa Khan/ Pa Khan Shay,26,
,,Nay Pyi Taw,27,
,,Taung Pyan,28,
,,Tayote Hmway,29,
,,Ziyar,30,
,,Zabu Hein,31,
,,San Anaytaw,32,
,,San Thit,33,
,,San Hmway,34,
,,San Chaw,35,
,,Sinn Thukha,36,
,,Sat Chon,37,
,,Ngway Toe,38,
,,Nga Kyi Ni,39,
,,Japan Shal,40,
,,Khon Ni San,42,
,,Chin Tone,43,
,,Kout Gyi San,44,
,,Kyar Pyan,45,
,,Kamar Chi,46,
,,Kamar Wat,47,
h_05_price,Price of 1 pyi of short-grain rice,Open ended,,Numeric
h_05_variety,Variety of short-grain rice,,,Integer
,,Pawsan,1,
,,Nga Kywe,2,
,,Meedone,3,
,,Don’t know,9998,
,,Other,9999,
h_06,H.06 What is the current price of 1 Viss/ 10 kyatthar of the cheapest potatoes a,,,Integer
,,Don't Know,9998,
h_06_unit,H.06. Potatoes Unit Code,,,Numeric
,,1 Viss,1,
,,10 kyatthar,2,
h_07,H.07 What is the current price of  1 Viss/10 kyatthar of the cheapest pulses ava,,,Integer
,,Lentils,1,
,,Lablab,2,
,,butter beans,3,
,,soybeans,4,
,,chickpeas,5,
,,green peas (Pe Pyot),6,
,,Don’t know,9998,
,,Other,9999,
h_07_01,H.07.1. Lentils ___ kyat (1 viss/10 kyatthar) (1 can/1 pyi),Open ended,,Integer
h_07_02,H.07.2. Lablab ___kyat (1 viss/10 kyatthar) (1 can/1 pyi),Open ended,,Integer
h_07_03,H.07.3. butter beans___kyat (1 viss/10 kyatthar) (1 can/1 pyi),Open ended,,Integer
h_07_04,H.07.4. soybeans___Kyat (1 viss/10 kyatthar) (1 can/1 pyi),Open ended,,Integer
h_07_05,H.07.5. chickpeas___Kyat (1 viss/10 kyatthar) (1 can/1 pyi),Open ended,,Integer
h_07_06,H.07.6. green peas (Pe Pyot) ___Kyat(1 viss/10 kyatthar) (1 can/1 pyi),Open ended,,Integer
h_07_oth,h.07.99 Other(Specify),,,Numeric
,,Apyo Gyi,1,
,,Loon Ni,2,
,,Groundnut,3,
,,Kidney Bean,4,
,,Black Gram,5,
,,Black-eyed pea,6,
,,Yellow gram,7,
,,Pel Lone Phyu,8,
,,Butterfly bean,9,
,,Pel Hlaing htaung,10,
,,Cow Pea,11,
,,Pel Lat Kout,12,
,,Pel Yay Pwa,13,
,,Pel Yarzar,14,
,,Pel Shan,15,
,,Pel Phyu,16,
,,Horse gram,17,
,,Mung bean,18,
,,Pel Ni Pyar,19,
,,Pel Zeegwat,20,
,,Pigeon Pea,21,
,,Pel San,22,
,,Pel Sein,23,
,,Pel Seik Toe,24,
,,Chin Pel,25,
,,Pel Chan Lay,26,
,,Pel Kyar Sein,27,
,,Buma Bean,28,
,,Pel Kyan,29,
,,Dolichos lablab,30,
,,Taung Paw Pel,31,
,,Son Tar Ni,32,
,,gout pel,33,
h_07_unit,H.07. cheapest (Unit Code),,,Numeric
,,1 viss,1,
,,10 kyatthar,2,
,,1 can,3,
,,1 pyi,4,
h_08,H.08. What is the current price of one hand of bananas? Please specify the varie,,,Integer
,,Cavendish Banana (Thi hmwe),1,
,,Burro Banana ( Phi Kyam),2,
,,Lady's Finger Bananas ( Nga Pyaw Chin),3,
,,Red banana (Shwe Nga Pyaw),4,
,,Pisang awak banana ( Rakhine bananas),5,
,,green peas (Pe Pyot),6,
,,Don’t know,9998,
,,Other,9999,
h_08_01,H.08.1.Cavendish Banana (Thi hmwe) ___Kyat,Open ended,,Integer
h_08_02,H.08.2. Burro Banana ( Phi Kyam) ___Kyat,Open ended,,Integer
h_08_03,H.08.3. Lady's Finger Bananas ( Nga Pyaw Chin) ___Kyat,Open ended,,Integer
h_08_04,H.08.4. Red banana (Shwe Nga Pyaw) ___Kyat,Open ended,,Integer
h_08_05,H.08.5. Pisang awak banana ( Rakhine bananas) __Kyat,Open ended,,Integer
h_08_oth,h.08.99 Other(Specify),,,Numeric
,,Wat Ma Loot,1,
,,Nant Thar Phu,2,
,,Nga maung Pyar,3,
h_09,H.09. What is the current price of 1 Viss/10 kyatthar of the cheapest type of on,,,Integer
,,Don't Know,9998,
h_09_unit,H.09. Onions (Unit code),,,Numeric
,,1 viss,1,
,,10 kyatthar,2,
h_10,H.10. What is the current price of one bunch of the cheapest common type of gree,,,Integer
,,Water leaf (Water spinach),1,
,,Roselle leaf,2,
,,Mustard green,3,
,,Spinach leaf,4,
,,Bottle gourd leaf,5,
,,Don’t know,9998,
,,Other,9999,
h_10_01,H.10.1.Water leaf (Water spinach) _____Kyat,Open ended,,Integer
h_10_02,H.10.2. Roselle leaf_____Kyat,Open ended,,Integer
h_10_03,H.10.3. Mustard green_____Kyat,Open ended,,Integer
h_10_04,H.10.4. Spinach leaf_____Kyat,Open ended,,Integer
h_10_05,H.10.5. Bottle gourd leaf_____Kyat,Open ended,,Integer
h_10_oth,h.10.99 Other(Specify),,,Numeric
,,Turnip (Mone Lar Ywat),1,
,,Radish Sprout (Mone Lar Pin Pout),2,
,,Basil,3,
,,Coriander Plant,4,
,,Salad,5,
,,Cabbage,6,
,,Chinese Broccoli,7,
h_11,H.11. What is the current price of  1 Viss/10 kyatthar of chicken meat without b,,,Integer
,,Don't Know,9998,
h_11_unit,H.11.  chicken meat without bones (Unit Code),,,Numeric
,,1 viss,1,
,,10 kyatthar,2,
h_12,"H.12. What is the current price of 1 Viss/ 10 kyatthar f dried/smoked fish, shri",,,Integer
,,Dried Ngayant,1,
,,Dried Ngakhu/ Ngagyee,2,
,,Dried Catfish,3,
,,Dried Spiny eel,4,
,,Dried small shrimp,5,
,,Dired medium shrimp,6,
,,Dried sea fish,7,
,,Don’t know,9998,
,,Other,9999,
h_12_01,H.12.1.Dried Ngayant____Kyat (1 viss/10 kyatthar),Open ended,,long
h_12_02,H.12.2. Dried Ngakhu/ Ngagyee___Kyat  (1 viss/10 kyatthar),Open ended,,Integer
h_12_03,H.12.3. Dried Catfish____Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_12_04,H.12.4. Dried Spiny eel____Kyat(1 viss/10 kyatthar),Open ended,,Integer
h_12_05,H.12.5. Dried small shrimp____Kyat(1 viss/10 kyatthar),Open ended,,long
h_12_06,H.12.6. Dired medium shrimp___Kyat(1 viss/10 kyatthar),Open ended,,long
h_12_07,H.12.7. Dried sea fish__kyat(1 viss/10 kyatthar),Open ended,,long
h_12_oth,h.12.99 Other(Specify),,,Numeric
,,R Byal Chouk,1,
,,Ngar Nhut Chouk,2,
,,La Thar Chauk/ Shwe La Thar,3,
,,Rakhine Chouk,4,
,,Nga Mhee Tan Thwel Chouk,5,
,,Pazun Chauk Gyi Shal,6,
,,Palar Tuu Chouk/ Ngar Thittar Chauk,7,
,,Darma Nai Ngar Chauk,8,
,,Tilapia,9,
,,Si Nga yaung Chauk/ Nga Yaung Pyar Chauk/ Nga Yaung Chauk,10,
,,Ngar Htaw Pat Chauk,11,
,,Nga Ohn Chauk,12,
,,Nga Athay Chauk,13,
,,Nga Tha Lel Chauk,14,
,,Nga Ni Tu Chauk,15,
,,Nga Lone Chauk,16,
,,Nga Khone Ma,17,
,,Nga Shay Chauk,18,
,,Nga Shwe Chauk/ Nga Shwe Pyar,19,
,,Ngar Nyat Chauk,20,
,,Nga Mel Lone Chauk,21,
,,Nga Myinn Chauk,22,
,,Ngar Byat Chauk,23,
,,Nga Phaung Yoe Chauk,24,
,,Nga Phyinn Tha Lat Chauk,25,
,,Nga Putin Chauk,26,
,,Nga Pote Thin Chauk,27,
,,Nga Pa Naw Chauk yay Cho,28,
,,Nga Nhat Chauk,29,
,,Nga Ta Gon Chauk,30,
,,Nga Kone Nyo,31,
,,Nga Koon Shat Chauk,32,
,,Nga Kyi Kan,33,
,,Nga Watma Chauk,34,
,,Nga Nhote Chauk,35,
h_12_unit,"H.12. Dried/smoked fish, shrimp, prawns (Unit Code)",,,Numeric
,,1 viss,1,
,,10 kyatthar,2,
h_13,H.13. What is the current price of 1 viss/10 kyatthar of fresh fish? Please spec,,,Integer
,,Ngamyitchin,1,
,,Ngagyin,2,
,,Ngayant,3,
,,Ngakhu/ Ngagyee,4,
,,Ngapyayma,5,
,,Ngaton,6,
,,Ngamyinn,7,
,,Ngathalauk,8,
,,Tilapia,9,
,,Catfish,10,
,,Spiny eel ( naghmwe htoe),11,
,,Don’t know,9998,
,,Other,9999,
h_13_01,H.13.1. Ngamyitchin___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_02,H.13.2. Ngagyin___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_03,H.13.3. Ngayant___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_04,H.13.4. Ngakhu/ Ngagyee___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_05,H.13.5. Ngapyayma___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_06,H.13.6. Ngaton ___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_07,H.13.7. Ngamyinn___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_08,H.13.8. Ngathalauk___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_09,H.13.9. Tilapia ___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_10,H.13.10. Catfish___Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_11,H.13.11. Spiny eel ( naghmwe htoe) __Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_13_unit,H.13. fresh fish (Unit Code),,,Numeric
,,1 viss,1,
,,10 kyatthar,2,
h_14,H.14. What is the current price of 1 viss / 10 kyatthar of the cheapest type of ,,,Integer
,,Palm oil,1,
,,Vegetable oil,2,
,,Groundnut oil,3,
,,Sesame oil,4,
,,Don’t know,9998,
,,Other,9999,
h_14_01,H.14.1.Palm oil____Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_14_02,H.14.2. Vegetable oil____Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_14_03,H.14.3. Groundnut oil____Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_14_04,H.14.4. Sesame oil____Kyat (1 viss/10 kyatthar),Open ended,,Integer
h_14_99,H.14.9999. Other___kyat (1 viss/10 kyatthar),Open ended,,Integer
h_14_oth,h.14.99 Other(Specify),,,Numeric
,,Mixed Oil,1,
,,Indo Oil,2,
,,Cow Pea Oil,4,
,,Pel Lat Oil,5,
,,Pel Yaw Oil,6,
,,Pel Pote Oil,7,
,,Pel Nhan Yoe Yoe/ Pel Nhan,8,
,,Shrimp Oil,9,
,,Sunflower Oil,10,
,,Nhan Lat Oil,11,
,,Sesame & Vegetable Oil,12,
,,Nhan Gyar Oil,13,
h_14_unit,H.14. cooking oil (Unit Code),,,Numeric
,,1 viss,1,
,,10 kyatthar,2,
h_15,H.15. What is the current price of one gallon of petrol?____ Kyat,,,Integer
,,Don't Know,9998,
i_01,"I.01. How many people have sent you remittances, either in cash or in kind, from",Open ended,,Numeric
i_02,i.02 What was the total value of these remittances in the past three months?,Open ended,,Numeric
i_03,I.03 How many people have sent you or any other household member remittances fro,Open ended,,Numeric
i_04,i.04 What is the total value of these remittances in the past three months?,Open ended,,Numeric
i_05,"I.05 In the last three months, which was the main challenge you had for receivin",,,Numeric
,,no difficulties,0,
,,Migrant(s) faced lower income/less work,1,
,,Migrant(s) had trouble sending money/goods due to financial system disruptions,2,
,,It is very expensive to transfer money / paying fees to withdraw remittance,3,
,,Migrants(s) faced their own economic difficulties and had less to send,4,
,,Migrants(s) had health problems,5,
,,Migrants(s) faced security problems,6,
,,Other – please list,9999,
i_06_01,"i.06 In the last three months, did you or any other household member receive any",,,Numeric
,,Yes,1,
,,No,2,
i_06_02,"i.06 In the last three months, did you or any other household member receive any",,,Numeric
,,Yes,1,
,,No,2,
i_06_03,"i.06 In the last three months, did you or any other household member receive any",,,Numeric
,,Yes,1,
,,No,2,
i_07,i.07. What was the total value of these pensions or benefits in the past three m,Open ended,,Numeric
i_08,"I.08. In the past three months, has anyone provided any food products, non-food ",,,Numeric
,,Yes,1,
,,No,2,
i_09_00,Sources of supportreceived by your household in the past three months:Nothing re,,,Numeric
,,Yes,1,
,,No,2,
i_09_01,Sources of supportreceived by your household in the past three months:Local reli,Open ended,,long
i_09_02,"Sources of supportreceived by your household in the past three months:Monastery,",Open ended,,long
i_09_03,Sources of supportreceived by your household in the past three months:Internatio,Open ended,,long
i_09_04,Sources of supportreceived by your household in the past three months:SAC,Open ended,,long
i_09_05,Sources of supportreceived by your household in the past three months:Other/loca,Open ended,,long
i_09_06,"Sources of supportreceived by your household in the past three months:Family, fr",Open ended,,long
i_09_07,Sources of supportreceived by your household in the past three months:Community-,Open ended,,long
j_01,J.01. In the past 3 months was your household negatively affected by any natural,,,Numeric
,,Yes,1,
,,No,2,
j_02_01,"J.02 If so, which one? : drought",,,Numeric
,,No,0,
,,Yes,1,
j_02_02,"J.02 If so, which one? : excessive rain, hail, flood",,,Numeric
,,Yes,1,
,,No,2,
j_02_03,"J.02 If so, which one? : irregular rain fall or temperature",,,Numeric
,,Yes,1,
,,No,2,
j_02_04,"J.02 If so, which one? : lightning",,,Numeric
,,Yes,1,
,,No,2,
j_02_05,"J.02 If so, which one? : landslide",,,Numeric
,,Yes,1,
,,No,2,
j_02_06,"J.02 If so, which one? : earthquake",,,Numeric
,,Yes,1,
,,No,2,
j_02_07,"J_02 If so, which one? : strong wind",,,Numeric
,,Yes,1,
,,No,2,
j_02_08,"J_02 If so, which one? : frost",,,Numeric
,,Yes,1,
,,No,2,
j_02_99,"J.02 If so, which one? : other (specify)",,,Numeric
,,Yes,1,
,,No,2,
j_02_oth,J.02.99 Other(Specify),,,Numeric
,,Strong Wind,7,
,,Snowing,8,
j_04,"J.04. In this year 2021, how many people in your household had any COVID-like sy",,,Numeric
,,prefer not to answer,9997,
,,Don't Know,9998,
j_05,J.05 How many people from your household passed away in 2021 due to COVID?,,,Numeric
,,prefer not to answer,9997,
j_06,J.06 How many people from your household passed away in 2021 due to non-COVID ca,,,Integer
,,prefer not to answer,9997,
j_07_01,HH affected by violence in the past 3 months,,,Numeric
,,Yes,1,
,,No,2,
j_07_02,HH affected by theft in the past 3 months,,,Numeric
,,Yes,1,
,,No,2,
j_07_03,HH affected by intra-household conflict in the past 3 months,,,Numeric
,,Yes,1,
,,No,2,
j_07_04,None,,,Numeric
,,Yes,1,
,,No,2,
j_07_97,Prefer not to answer,,,Numeric
,,Yes,1,
,,No,2,
j_08,"J.08 How would you describe the overall level of physical security in your area,",,,Integer
,,1 = very insecure,1,
,,2 = somewhat insecure,2,
,,3 = secure,3,
,,4 = very secure,4,
,,prefer not to answer,9997,
j_09,"J.09 How would you describe the social relationships and trust in your area, fro",,,Integer
,,1 = very low trust,1,
,,2 = low trust,2,
,,3 = high trust,3,
,,4 = very high trust,4,
,,prefer not to answer,9997,
j_10_01,Community occured the large influx of migrants in the past 3 months,,,Numeric
,,Yes,1,
,,No,2,
j_10_02,Community occured the large departure of residents in the past 3 months,,,Numeric
,,Yes,1,
,,No,2,
j_10_03,Community occured the increase in crime in the past 3 months,,,Numeric
,,Yes,1,
,,No,2,
j_10_04,Community occured the violence in the past 3 months,,,Numeric
,,Yes,1,
,,No,2,
j_10_99,Other,,,Numeric
,,Yes,1,
,,No,2,
j_10_oth,J.10. Other (specify) English,,,Numeric
,,House set on fire/ Fled to safety from the war,5,
,,War in the western village,6,
,,Heavy artillery fire in the vicinity,7,
,,Fled to safety from the war,8,
,,Frighten due to the war,9,
j_11,"J.11 In the past month, if an adult from your community was hired to do any unsk",,,Integer
,,__________MMK,1,
,,not applicable,9996,
,,don’t know,9998,
j_11_mmk,J.11 In MMK_________,Open ended,,Integer
j_12,J.12 and a woman?,,,Integer
,,__________MMK,1,
,,not applicable,9996,
,,don’t know,9998,
j_12_mmk,J.12 In MMK_________,Open ended,,Integer
j_13,"J.13 In the past month, if an adult from your community was hired to do any unsk",,,Integer
,,__________MMK,1,
,,not applicable,9996,
,,don’t know,9998,
j_13_mmk,J.13 In MMK_________,Open ended,,Integer
j_14,J.14 and a woman?,,,Integer
,,__________MMK,1,
,,not applicable,9996,
,,don’t know,9998,
j_14_mmk,J.14 In MMK_________,Open ended,,Integer
k_01,K.01. sell any asset?,,,Integer
,,Yes,1,
,,No - because it wasn’t necessary,2,
,,No - because already sold assets in the last 12 months and could not continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_02_01,"K.02. which assets? : Gold, jewelry, US dollars",,,Numeric
,,Yes,1,
,,No,2,
k_02_02,"K.02. which assets? : Household assets (furniture, TV, radio, fridge, etc.)",,,Numeric
,,Yes,1,
,,No,2,
k_02_03,"K.02. which assets? : Agricultural parcels (incl. fish pond, livestock rearing p",,,Numeric
,,Yes,1,
,,No,2,
k_02_04,"K.02. which assets? : Residential parcels, house/dwelling",,,Numeric
,,Yes,1,
,,No,2,
k_02_05,"K.02. which assets? : Means of transport (car, motorbike, bicycle, rickshaw, boa",,,Numeric
,,Yes,1,
,,No,2,
k_02_06,"K.02. which assets? : Non-ag productive assets (sewing machine, wheelbarrow, etc",,,Numeric
,,Yes,1,
,,No,2,
k_02_07,"K.02. which assets? : Agricultural productive assets (power tiller, tractor, dra",,,Numeric
,,Yes,1,
,,No,2,
k_02_08,K.02. which assets? : livestock,,,Numeric
,,Yes,1,
,,No,2,
k_02_09,"K.02. which assets? : fishery assets (nets, pumps, other equipment, etc)",,,Numeric
,,Yes,1,
,,No,2,
k_02_10,Selling crops,,,Numeric
,,Yes,1,
,,No,2,
k_02_11,Selling non-productive things,,,Numeric
,,Yes,1,
,,No,2,
k_02_12,Selling phone,,,Numeric
,,Yes,1,
,,No,2,
k_02_99,k.02.99. Other,,,Numeric
,,Yes,1,
,,No,2,
k_02_oth,k.02.99. Other(Specify),,,Numeric
,,Onion,10,
,,Betel Nuts,11,
,,Crops,12,
,,Loom,13,
,,Paddy/ Stored  beans and paddy,14,
,,Paddy and Beans,15,
,,Crops (Sesame),16,
,,Hair,17,
,,Tobacco,18,
,,A Bag of rice that get as a supply,19,
,,Seedling,20,
,,Corn,21,
,,Phone,22,
,,Groundnut,23,
,,Stored Paddy,24,
,,Burmese Black Wood - 5 trees,25,
,,Tree (for firewood),26,
,,Clothes,27,
,,Stored Oil for the family,28,
k_03,K.03. mortgage any asset? (should include also those loans gotten by going with ,,,Integer
,,Yes,1,
,,No - because it wasn’t necessary,2,
,,No - because already mortgaged assets in the last 12 months and could not continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_04_01,"K.04. which assets? : Gold, jewelry, US dollars",,,Numeric
,,Yes,1,
,,No,2,
k_04_02,"K.04. which assets? : Household assets (furniture, TV, radio, fridge, etc.)",,,Numeric
,,Yes,1,
,,No,2,
k_04_03,"K.04. which assets? : Agricultural parcels (incl. fish pond, livestock rearing p",,,Numeric
,,Yes,1,
,,No,2,
k_04_04,"K.04. which assets? : Residential parcels, house/dwelling",,,Numeric
,,Yes,1,
,,No,2,
k_04_05,"K.04. which assets? : Means of transport (car, motorbike, bicycle, rickshaw, boa",,,Numeric
,,Yes,1,
,,No,2,
k_04_06,"K.04. which assets? : Non-ag productive assets (sewing machine, wheelbarrow, etc",,,Numeric
,,Yes,1,
,,No,2,
k_04_07,"K.04. which assets? : Agricultural productive assets (power tiller, tractor, dra",,,Numeric
,,Yes,1,
,,No,2,
k_04_08,K.04. which assets? : livestock,,,Numeric
,,Yes,1,
,,No,2,
k_04_09,"K.04. which assets? : fishery assets (nets, pumps, other equipment, etc)",,,Numeric
,,Yes,1,
,,No,2,
k_04_99,k.04.99. Other,,,Numeric
,,Yes,1,
,,No,2,
k_04_oth,k.04.99. Other(Specify),,,Numeric
,,Clothes,11,
,,Clothes/ Bowl/ Cup/ Plate,12,
,,Phone,13,
,,Palms,14,
,,Bicycle,15,
k_04_other,Mortgaging others,,,Numeric
,,Yes,1,
,,No,2,
k_05,K.05. Sold or consumed seed stocks that were to be held/saved for the next plant,,,Integer
,,Yes,1,
,,No - because it wasn’t necessary,2,
,,No - because we already sold or consumed seed stocks in the last 12 months and could not continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_06,"K.06. Reduced expenditures on agricultural inputs: seeds, fertilizers, agro-chem",,,Integer
,,Yes,1,
,,No - because it wasn’t necessary,2,
,,No - because already reduced these expenditures and could not continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_07,K.07. Spend savings?,,,Integer
,,Yes,1,
,,No - because it wasn’t necessary,2,
,,No - because already spent my savings in the past 12 months and could not continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_08,K.08. Reduced expenses on health (including drugs)?,,,Integer
,,Yes,1,
,,No - no medical or education expenditures needed,2,
,,No - because already reduced these expenditures in the past 12 months and could not continue to do it,3,
,,Not applicable (= no medical or education expenditures),4,
,,prefer not to say,9997,
,,prefer not to say,9998,
k_09,K.09. Reduced other non-food expenditures?,,,Integer
,,Yes,1,
,,No,2,
,,No - because already reduced these expenditures in the past 12 months and could not continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_10,K.10. Reduced food expenditures?,,,Integer
,,Yes,1,
,,No,2,
,,No - because already reduced these expenditures in the past 12 months and could not continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_11,K.11. purchase food on credit or borrow food?,,,Integer
,,Yes,1,
,,No - because it wasn’t necessary,2,
,,No - because already did it in the past 12 months and you cannot continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_12,K.12. borrow money? (not from pawn shop),,,Integer
,,Yes,1,
,,No - because it wasn’t necessary,2,
,,No - because already borrowed money in the past 12 months and you cannot continue to do it,3,
,,Not applicable,4,
,,prefer not to say,9997,
k_13,K.13. have to migrate with the entire household?,,,Integer
,,Yes,1,
,,No – because it wasn’t necessary,2,
,,No – because we already moved in the past 12 months and you cannot continue to do it,3,
,,not applicable,4,
,,prefer not to say,9997,
k_14,K.14 children need to work as well? \n(under 15 children),,,Integer
,,Yes (within the past 30 days),1,
,,no – we did not let the children work,2,
,,no – children were already working even before these last 30 days (within the past 12 months),3,
,,not applicable,4,
,,prefer not to say,9997,
,,Not applicable,9998,
k_15,K.15. any type of activity that you have never done before and which has high ri,,,Integer
,,No loans,0,
,,Yes,1,
,,No – because it wasn’t necessary,2,
,,No – we already did this in the past 12 months,3,
,,not applicable,4,
,,prefer not to say,9997,
k_16,"K.16. Currently, do you owe any money to loan or credit providers, including ban",,,Integer
,,Yes,1,
,,No,2,
,,prefer not to say,9997,
,,Don’t know,9998,
k_17,"K.17. For all the loans/credit you currently have, how difficult will it be to p",,,Integer
,,Not difficult,1,
,,Somewhat difficult,2,
,,Very difficult,3,
,,prefer not to say,9997,
,,Don’t know,9998,
l1_01,L.01. How many infants (<2 years old) live in this household?,Open ended,,Numeric
l1_02,L.02. Are you knowledgeable about his/her food intake yesterday- or is main care,,,Numeric
,,"Yes, I am knowledgeable (=respondent)",1,
,,"Yes, caretaker can help answer these questions",2,
,,No,3,
l1_03,l.03 What is the birthdate of your child under the age of two?_,Open ended,,Numeric
l1_03a_day,L.03a.What is the birthdate of your child under the age of two? ____  day   (999,,,Integer
,,Don't Know,9998,
l1_04,L.04. What is the gender of this child?,,,Numeric
,,Male,1,
,,Female,2,
l1_05,"L.05. Is your child eating any solid, semi-solid or soft foods (not liquid only)",,,Numeric
,,Yes,1,
,,No,2,
l1_06,"L.06. Yesterday, during the day and night, how many times did your youngest chil",,,Integer
,,Don't Know,9998,
l2_01,"L1. Was yesterday a special day? Fasting/festival/visitors/other celebration, et",,,Numeric
,,Yes,1,
,,No,2,
l2_02_a,"L2.A.dark green leafy vegetables  {For your selected child under 2 years, did yo",,,Numeric
,,Yes,1,
,,No,2,
l2_02_b,"L2.B. dark green leafy vegetables  {For your own consumption, did you eat these ",,,Numeric
,,Yes,1,
,,No,2,
l2_02_c,"L2.C. dark green leafy vegetables  {In your household, over the last 7 days, how",Open ended,,Numeric
l2_03_a,"L3.A. orange-colored vegetables or roots, such as pumpkin, sweet potatoes, carro",,,Numeric
,,Yes,1,
,,No,2,
l2_03_b,"L3.B. orange-colored vegetables or roots, such as pumpkin, sweet potatoes, carro",,,Numeric
,,Yes,1,
,,No,2,
l2_03_c,"L3.C. orange-colored vegetables or roots, such as pumpkin, sweet potatoes, carro",Open ended,,Numeric
l2_04_a,"L4.A. other vegetables, such as tomatoes, white cabbage, eggplant, lady finger, ",,,Numeric
,,Yes,1,
,,No,2,
l2_04_b,"L4.B. other vegetables, such as tomatoes, white cabbage, eggplant, lady finger, ",,,Numeric
,,Yes,1,
,,No,2,
